#{"t_start": 1707253401.7851188, "env_id": "Pendulum-v1"}
r,l,t
-1628.2313,200,0.161422
-876.071806,200,0.303463
-1170.807704,200,0.451142
-627.278399,200,0.598656
-1407.449218,200,0.739588
-887.848303,200,0.875587
-1069.152348,200,1.044708
-1381.629309,200,1.214053
-1276.660779,200,1.353549
-1593.117497,200,1.494545
-1063.622193,200,1.639173
-852.913229,200,1.782962
-1165.03491,200,1.923113
-1066.897339,200,2.064697
-1320.370499,200,2.207936
-893.773111,200,2.347812
-869.242813,200,2.492514
-1427.91472,200,2.649401
-1724.421299,200,2.766239
-1572.243743,200,2.880962
-1332.536338,200,2.9951
-1135.287989,200,3.120259
-764.442279,200,3.235681
-1190.645087,200,3.350754
-1343.602688,200,3.465682
-1685.644097,200,3.580724
-1439.862265,200,3.698719
-1639.817242,200,3.813146
-1015.896008,200,3.928687
-1716.208616,200,4.045146
-1308.25893,200,4.161265
-1077.124364,200,4.276598
-1292.721416,200,4.391933
-831.578527,200,4.507521
-860.152325,200,4.627554
-1162.944177,200,4.743404
-1179.486192,200,4.85881
-1306.64384,200,4.974096
-1809.038214,200,5.090303
-1815.807742,200,5.206289
-1798.290727,200,5.322611
-1784.435368,200,5.439679
-1593.650343,200,5.556334
-1286.508476,200,5.678425
-1755.519901,200,5.795446
-865.805363,200,5.912611
-1171.344875,200,6.030576
-878.251102,200,6.147887
-1469.88835,200,6.26751
-1282.504565,200,6.391019
-1181.235463,200,6.508736
-1311.426724,200,6.626842
-1505.76077,200,6.747761
-923.029126,200,6.870818
-867.667889,200,6.988458
-923.656484,200,7.105354
-1745.747064,200,7.222418
-1697.057729,200,7.340043
-1815.94408,200,7.458306
-1476.456501,200,7.575912
-1287.584158,200,7.698006
-1154.63147,200,7.815525
-873.20835,200,7.933775
-1446.86381,200,8.052107
-1791.750136,200,8.170558
-967.539207,200,8.288661
-1382.732251,200,8.406219
-1670.518948,200,8.527892
-1399.44489,200,8.647063
-1621.71563,200,8.770939
-974.445928,200,8.89048
-1668.067928,200,9.009625
-1276.898996,200,9.129076
-1239.198431,200,9.248279
-1252.347686,200,9.368689
-1077.461201,200,9.496874
-1442.302173,200,9.629809
-1593.289441,200,9.75629
-1433.057308,200,9.876371
-1816.189723,200,10.026802
-1061.784866,200,10.179775
-1644.113064,200,10.673831
-869.152415,200,10.904595
-1068.790068,200,11.096738
-1070.410392,200,11.296055
-992.872596,200,11.544843
-889.123099,200,11.746768
-973.192279,200,11.942099
-1539.162971,200,12.137851
-1077.910488,200,12.330547
-1606.433597,200,12.529231
-1700.477361,200,14.270567
-1657.534755,200,14.463563
-1646.455766,200,14.657758
-1275.902574,200,14.860276
-1711.101173,200,15.053578
-1597.042712,200,15.249341
-859.368063,200,15.445484
-822.263959,200,15.640308
-1182.551801,200,15.844278
-1725.681665,200,16.038601
-1430.884101,200,17.733809
-1501.288638,200,17.938253
-1081.610488,200,18.136864
-1067.654428,200,18.337148
-1641.87176,200,18.538201
-1323.737259,200,18.752928
-1075.799143,200,18.958407
-1285.014816,200,19.159801
-1090.771553,200,19.363205
-1408.278432,200,19.56522
-1357.429966,200,21.256782
-1741.862589,200,21.472532
-1260.288598,200,21.671967
-1197.216256,200,21.874651
-1786.400667,200,22.079336
-1079.378566,200,22.283209
-883.357964,200,22.490411
-970.574078,200,22.69525
-874.424913,200,22.899519
-1045.432216,200,23.111273
-1356.78192,200,24.818587
-1643.027061,200,25.033121
-1810.658078,200,25.235625
-1434.397982,200,25.440803
-1405.123591,200,25.641778
-888.776397,200,25.845469
-793.52062,200,26.085023
-1076.466083,200,26.29064
-967.892882,200,26.505164
-1415.350864,200,26.708966
-915.505775,200,26.91341
-1760.010736,200,28.624681
-896.619722,200,28.844101
-1734.791402,200,29.059844
-1724.061382,200,29.273391
-1783.375361,200,29.487622
-1463.694301,200,29.697123
-1252.299493,200,29.907761
-1512.868378,200,30.123981
-1572.680291,200,30.337502
-1003.408489,200,30.55167
-1843.995762,200,32.264435
-1284.002612,200,32.480505
-1434.034372,200,32.695129
-946.699845,200,32.910427
-1638.682949,200,33.127294
-1470.780186,200,33.34333
-1599.340539,200,33.559664
-1307.572677,200,33.772642
-1249.8821,200,33.998393
-879.772265,200,34.222369
-1055.810757,200,35.940106
-1134.479356,200,36.157209
-1085.992518,200,36.380175
-1015.137505,200,36.60588
-998.557706,200,36.820263
-1841.309656,200,37.037123
-1673.436808,200,37.260911
-1225.829901,200,37.478848
-1292.48264,200,37.722844
-1178.395734,200,37.940864
-1183.385676,200,39.958624
-1053.177258,200,40.181561
-819.337221,200,40.409342
-896.638247,200,40.639953
-1027.852095,200,40.866372
-975.544923,200,41.092443
-982.22376,200,41.318702
-984.295137,200,41.556916
-1774.83384,200,41.7829
-1377.676513,200,42.005546
-1627.447813,200,42.23328
-1375.454293,200,43.967617
-1077.691341,200,44.192852
-711.719415,200,44.424017
-1106.546792,200,44.655834
-1343.568258,200,44.878527
-1179.136756,200,45.101505
-1006.851206,200,45.330352
-1317.138616,200,45.553461
-1687.766927,200,45.784503
-1639.814888,200,46.008794
-1121.156288,200,47.732558
-1072.364327,200,47.98852
-1083.926838,200,48.211471
-1199.613944,200,48.440095
-1774.555697,200,48.674184
-1030.359402,200,48.901155
-1230.390459,200,49.143826
-900.85697,200,49.381319
-1298.460862,200,49.620401
-1053.718102,200,49.844912
-1185.233679,200,51.574046
-867.867828,200,51.800706
-1160.979934,200,52.061483
-1074.514686,200,52.336102
-1193.10359,200,52.66137
-1006.060891,200,52.977442
-1009.633486,200,53.295162
-1517.543593,200,53.570405
-1210.020474,200,53.801868
-1188.824657,200,54.102927
-1083.398263,200,55.867054
-1061.000837,200,56.155761
-1174.866439,200,56.394073
-963.250596,200,56.634433
-1267.032823,200,56.849331
-1044.353198,200,57.060853
-899.574943,200,57.278223
-1011.025481,200,57.495908
-1151.973267,200,57.713851
-1332.424552,200,57.929342
-1346.207401,200,58.143516
-1470.787489,200,59.811709
-1473.734777,200,60.022113
-1570.92716,200,60.243145
-1396.670691,200,60.451839
-918.460973,200,60.67377
-1068.991243,200,60.882633
-1120.419284,200,61.096486
-1413.865797,200,61.322078
-1039.814989,200,61.670231
-1434.038897,200,62.009188
-872.170164,200,64.033711
-1366.808455,200,64.307795
-1367.674697,200,64.583001
-1672.790559,200,64.84564
-1781.488758,200,65.060626
-1084.954854,200,65.274233
-982.604633,200,65.49202
-924.596609,200,65.714981
-1442.484347,200,65.929648
-1525.007009,200,66.176036
-1539.247563,200,67.837656
-1637.39497,200,68.051792
-1677.650194,200,68.265474
-1339.655829,200,68.478248
-1299.823476,200,68.701459
-1629.483408,200,68.916124
-1604.558965,200,69.138257
-936.065006,200,69.364099
-1537.601942,200,69.584907
-758.967021,200,69.808509
-852.646098,200,71.869561
-1527.670887,200,72.085854
-1193.032941,200,72.306321
-855.563839,200,72.526563
-1367.183835,200,72.747824
-1079.825998,200,72.966342
-1183.567621,200,73.183235
-1460.278919,200,73.402099
-1305.468294,200,73.61973
-1137.099242,200,73.846472
-1508.788052,200,74.065185
-1017.339361,200,75.724344
-1402.6712,200,75.944609
-1179.65471,200,76.160202
-888.980628,200,76.385192
-1523.561066,200,76.612583
-1544.573461,200,76.83562
-1269.748412,200,77.054766
-1350.497689,200,77.274671
-1197.474513,200,77.498895
-1504.209359,200,77.720323
-1512.353557,200,79.38476
-1735.984581,200,79.612639
-963.015389,200,79.841851
-1121.59042,200,80.066214
-1551.83142,200,80.287518
-1265.444678,200,80.509514
-1626.816814,200,80.733158
-1213.383843,200,80.962044
-1328.22691,200,81.183203
-1448.166559,200,81.404914
-1357.681971,200,83.277896
-864.102424,200,83.622906
-1011.27769,200,83.878032
-1052.477099,200,84.177062
-1623.387018,200,84.448244
-974.547001,200,84.698193
-865.501586,200,84.973536
-1813.807726,200,85.235335
-1085.018452,200,85.549183
-1162.921514,200,85.822096
-847.671713,200,87.616556
-958.189931,200,87.966444
-1021.123896,200,88.319836
-1232.06519,200,88.682356
-806.328899,200,89.001552
-1188.216758,200,89.36451
-1553.034066,200,89.733923
-1513.254372,200,89.996271
-1029.732588,200,90.289457
-1399.357783,200,90.571247
-856.757009,200,90.850667
-1523.875895,200,92.581093
-1082.61061,200,92.814318
-1000.774536,200,93.126075
-1079.566152,200,93.38491
-1468.00267,200,93.700745
-887.575247,200,93.955759
-1032.037213,200,94.215052
-1115.830619,200,94.476325
-1159.480245,200,94.736884
-1131.84701,200,94.98726
-1059.518717,200,96.824115
-1171.103692,200,97.080834
-1195.748839,200,97.333824
-1079.666281,200,97.596711
-1400.224456,200,97.847536
-973.399637,200,98.106642
-1133.150641,200,98.364968
-1098.918554,200,98.625078
-1166.562287,200,98.878782
-1073.335363,200,99.136168
-1036.540937,200,100.954853
-1156.787214,200,101.219883
-1043.026064,200,101.491171
-1154.812561,200,101.751156
-1030.835299,200,102.006844
-891.973002,200,102.266671
-1205.69648,200,102.525592
-1046.79424,200,102.783104
-1105.404239,200,103.04351
-1139.359589,200,103.305681
-1369.583188,200,105.682384
-982.799358,200,105.946171
-1112.555745,200,106.202864
-1079.579476,200,106.483098
-916.143611,200,106.738591
-1212.168467,200,107.012717
-1109.153557,200,107.276452
-1195.883165,200,107.539977
-987.281919,200,107.836679
-1213.653666,200,108.095591
-1051.776371,200,108.360346
-1155.75553,200,110.184489
-1254.39881,200,110.441506
-1478.565809,200,110.705597
-1104.184685,200,110.960701
-1183.009646,200,111.226971
-1111.173061,200,111.502014
-1045.950113,200,111.761835
-1101.348178,200,112.028547
-918.442564,200,112.284674
-977.581077,200,112.555412
-1006.178142,200,114.361511
-1033.264837,200,114.649175
-933.603149,200,114.917534
-1133.193574,200,115.181449
-1085.879055,200,115.448732
-911.894423,200,115.717718
-1327.194665,200,115.981896
-1269.962161,200,116.249167
-978.464065,200,116.524634
-783.197333,200,116.795706
-1269.101413,200,118.614762
-1457.442508,200,118.877178
-1040.745234,200,119.144589
-1252.840698,200,119.406152
-970.540902,200,119.713913
-1380.026113,200,119.98877
-1372.88054,200,120.259271
-1044.634707,200,120.525127
-1578.093854,200,120.7952
-1263.904066,200,121.057357
-1504.653436,200,122.884557
-1036.667214,200,123.149261
-1409.880684,200,123.415063
-1126.007862,200,123.687395
-1105.408219,200,123.949831
-1597.067997,200,124.219785
-1060.31747,200,124.486947
-1845.202602,200,124.769223
-1655.102748,200,125.043569
-1269.605062,200,125.314929
-736.979455,200,127.160366
-1105.331987,200,127.427717
-1085.907648,200,127.698985
-1133.353919,200,127.965333
-1436.466617,200,128.239046
-1365.28704,200,128.510319
-1020.836122,200,128.781699
-1076.028988,200,129.056222
-976.664876,200,129.327982
-1017.681332,200,129.595918
-1260.21897,200,129.919492
-880.525875,200,131.750486
-1051.813832,200,132.026317
-1123.484367,200,132.289535
-716.202985,200,132.572244
-1186.70498,200,132.845817
-1482.176635,200,133.115071
-1071.447521,200,133.388074
-1691.264605,200,133.663567
-999.222812,200,133.939205
-1057.130327,200,134.216595
-1051.62657,200,136.05907
-1265.863799,200,136.33742
-973.792346,200,136.615632
-1078.197271,200,136.892393
-1097.937693,200,137.161739
-1410.217873,200,137.428535
-1126.279816,200,137.701147
-887.277838,200,137.967638
-1698.977348,200,138.240902
-1044.645005,200,138.511231
-1200.117051,200,141.025254
-1170.531503,200,141.298766
-900.190286,200,141.577366
-1191.714507,200,141.853609
-920.748156,200,142.13176
-1152.919205,200,142.398426
-822.686437,200,142.676083
-1034.141515,200,142.946567
-1451.412836,200,143.219802
-975.770487,200,143.495379
-1035.852591,200,145.319096
-1074.928528,200,145.594618
-1002.000898,200,145.872358
-1727.525639,200,146.149678
-870.420207,200,146.424328
-1224.898182,200,146.714151
-1216.177034,200,146.990632
-1535.285116,200,147.271031
-1644.89554,200,147.546185
-991.149432,200,147.824147
-894.181394,200,148.106295
-1085.302707,200,149.926876
-1094.242845,200,150.219288
-972.474514,200,150.50708
-894.427091,200,150.787179
-1367.135682,200,151.0631
-1099.698566,200,151.352724
-893.455878,200,151.651237
-1055.627908,200,151.962125
-1348.694792,200,152.249407
-950.978179,200,152.532903
-748.963055,200,154.356094
-1183.23823,200,154.643584
-1014.378832,200,154.934421
-1380.503288,200,155.230116
-1325.109466,200,155.516518
-1211.737573,200,155.793987
-1087.768196,200,156.077804
-1189.398778,200,156.381568
-1447.727934,200,156.671729
-1460.216726,200,156.949549
-1028.469967,200,158.772686
-913.75753,200,159.057472
-1060.285051,200,159.347659
-1017.443873,200,159.634019
-981.933212,200,159.934119
-1129.883727,200,160.222853
-1198.208003,200,160.519276
-933.122093,200,160.809394
-1042.953148,200,161.098417
-975.729253,200,161.390827
-1238.24922,200,163.225884
-1008.657523,200,163.514093
-1109.514254,200,163.840027
-1253.648695,200,164.123422
-1403.444667,200,164.414109
-1199.047254,200,164.704268
-1057.591561,200,165.007493
-866.832134,200,165.300673
-1392.961128,200,165.592497
-1151.950449,200,165.877006
-1408.417247,200,166.163267
-1068.690434,200,168.140111
-1529.200341,200,168.556133
-1183.996321,200,168.832933
-1224.750957,200,169.183008
-1359.414796,200,169.573605
-1118.722003,200,170.020828
-1091.966151,200,170.382355
-1153.787308,200,170.834871
-1237.725839,200,171.266786
-1023.632535,200,171.653312
-1359.812121,200,173.707128
-1183.83853,200,173.987824
-1191.490221,200,174.289021
-1225.510134,200,174.612856
-979.754201,200,174.994467
-1279.695072,200,175.317787
-1062.378111,200,175.672345
-1108.866268,200,176.004483
-1214.527289,200,176.328308
-992.995665,200,176.63624
-1515.442759,200,179.343017
-1577.237988,200,179.612619
-1281.508642,200,179.84288
-1223.292444,200,180.093199
-1028.777834,200,180.308264
-1375.357227,200,180.522311
-1025.612086,200,180.740477
-1015.888013,200,180.951582
-1055.736956,200,181.162717
-1382.042062,200,181.375458
-1363.036837,200,182.352393
-1563.05711,200,182.567387
-1132.935907,200,182.787998
-1131.728151,200,182.999253
-868.091963,200,183.210802
-1440.339624,200,183.425917
-1233.28848,200,183.663137
-1044.191184,200,183.878779
-1069.12472,200,184.092796
-1043.917255,200,184.309931
-1157.346879,200,184.541337
-868.18422,200,185.515656
-1080.650336,200,185.735649
-888.888775,200,185.975708
-744.030099,200,186.210981
-1266.706448,200,186.672733
-1271.817583,200,186.885617
-1064.617818,200,187.093687
-981.915613,200,187.319276
-1100.737555,200,187.537643
-1030.349567,200,187.768199
-1413.667412,200,188.842165
-1077.433141,200,189.11599
-1103.771935,200,189.383937
-1229.387912,200,189.646429
-885.133788,200,189.904184
-855.550748,200,190.161566
-867.381481,200,190.419299
-1577.220232,200,190.685789
-948.539183,200,190.946469
-981.349817,200,191.206028
-1133.406059,200,192.481344
-1385.068505,200,192.768433
-779.479711,200,193.065649
-1340.779782,200,193.355448
-1377.880309,200,193.61518
-1244.521462,200,193.881111
-1073.43351,200,194.149602
-856.299344,200,194.406348
-835.380974,200,194.658543
-1103.249064,200,194.949385
-771.629013,200,196.241129
-1049.270181,200,196.536595
-1086.277896,200,196.855555
-1260.845386,200,197.13881
-918.537202,200,197.40125
-1106.716694,200,197.659565
-861.933351,200,197.936305
-955.462207,200,198.203011
-1020.549214,200,198.467566
-1094.718605,200,198.727688
-1460.004153,200,198.993516
-1055.791767,200,200.297331
-1249.141236,200,200.570588
-1055.721379,200,200.852919
-1338.986892,200,201.152979
-1227.734978,200,201.451516
-1438.748183,200,201.739901
-1000.831757,200,202.0124
-1076.866702,200,202.307011
-1351.87541,200,202.608598
-895.042309,200,202.905334
-988.341706,200,204.233752
-1363.66353,200,204.522179
-1011.983428,200,204.79352
-909.981507,200,205.067923
-1093.477803,200,205.338062
-1183.48983,200,205.603024
-1651.995765,200,205.869001
-1035.338993,200,206.135848
-924.646842,200,206.400988
-1141.702003,200,206.67164
-893.522944,200,208.838816
-1115.332535,200,209.149285
-1153.564219,200,209.447203
-1138.04437,200,209.723397
-1191.760317,200,210.002084
-1072.780415,200,210.273321
-1154.447768,200,210.539947
-1157.894837,200,210.805539
-1250.061378,200,211.068046
-794.445112,200,211.334778
